,number,user.login,created_at,updated_at,requested_reviewers,labels,head.label,head.ref,head.repo.name,head.repo.size,state,days-open
0,155,AdamErwee,2023-02-03 09:21:39,2023-02-03 09:21:39,WilcoBreedt,READY FOR REVIEW,openvantage:fix_payroll_summary_schedule,fix_payroll_summary_schedule,ai1-web-react,15318,open,0 days 02:12:34.013478
1,154,WilcoBreedt,2023-01-31 14:58:40,2023-02-02 14:07:24,No reviewer assigned,IN PROGRESS,openvantage:fix/handle_2500_jobs,fix/handle_2500_jobs,ai1-web-react,15318,open,2 days 20:35:33.013478
30,14,Riley-5,2023-01-20 10:10:50,2023-02-03 05:48:02,WilcoBreedt,Not labelled,openvantage:AI-1247_GP_WORKFLOWS,AI-1247_GP_WORKFLOWS,ai1-mobile-rn,4867,open,14 days 01:23:23.013478
37,7,AdamErwee,2022-10-12 12:05:58,2022-12-30 11:40:26,WilcoBreedt,DO NOT MERGE,openvantage:AI1-1089_JobRefetch,AI1-1089_JobRefetch,ai1-mobile-rn,4867,open,113 days 23:28:15.013478
45,84,WilcoBreedt,2023-01-31 14:56:59,2023-02-02 13:07:49,No reviewer assigned,IN PROGRESS,openvantage:fix/handle_2500_jobs,fix/handle_2500_jobs,ai1-backend-prisma,11936,open,2 days 20:37:14.013478
105,45,WianOV,2022-12-12 10:59:16,2023-01-10 05:23:56,Faziki,Not labelled,openvantage:small-fixes,small-fixes,otto-mobile-rn,5266,open,53 days 00:34:57.013478
135,77,inno-0,2023-02-03 08:17:52,2023-02-03 08:17:52,No reviewer assigned,Not labelled,openvantage:feature/fe-account-api-access-management,feature/fe-account-api-access-management,pangea-react-web,15123,open,0 days 03:16:21.013478
138,74,inno-0,2023-01-30 08:54:06,2023-02-02 06:29:44,No reviewer assigned,Not labelled,openvantage:bugfix/show-errors-onblur,bugfix/show-errors-onblur,pangea-react-web,15123,open,4 days 02:40:07.013478
274,68,AdamErwee,2023-02-02 07:39:33,2023-02-02 07:39:35,WilcoBreedt,READY FOR REVIEW,openvantage:VES-258_DateFilter,VES-258_DateFilter,verifeyes-frontend,1155,open,1 days 03:54:40.013478
279,63,WianOV,2023-01-30 07:56:59,2023-01-30 07:57:02,WilcoBreedt,READY FOR REVIEW,openvantage:E2E-new-testing,E2E-new-testing,verifeyes-frontend,1155,open,4 days 03:37:14.013478
